[2019-10-25 20:21:03,127 41] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.1025122
[2019-10-25 20:21:26,148 47] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-25 20:21:26,255 47] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.1071663
[2019-10-25 20:21:26,665 29] [INFO] [HomeController] - Entered GetEmployees method
[2019-10-25 20:21:26,721 29] [INFO] [HomeController] - GetEmployees method Elapsed - 00:00:00.0561819
[2019-10-25 20:21:26,747 47] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-10-25 20:21:26,898 47] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.1522183
[2019-10-25 20:21:26,971 48] [INFO] [HomeController] - Entered GetTime method
[2019-10-25 20:21:27,046 48] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0759026
[2019-10-25 20:21:27,166 47] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-25 20:21:27,222 47] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0562733
[2019-10-25 20:21:27,668 43] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-10-25 20:21:27,795 43] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.1261726
[2019-10-25 20:21:32,883 42] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-25 20:21:32,943 42] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.0608976
[2019-10-25 20:21:33,912 47] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-10-25 20:21:33,959 47] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.0542677
[2019-10-25 20:21:34,424 43] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-25 20:21:34,469 43] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0446922
[2019-10-25 20:21:34,490 48] [INFO] [AdminController] - Entered EmployeeDetails method
[2019-10-25 20:21:34,614 48] [INFO] [AdminController] - EmployeeDetails-Elapsed00:00:00.1245561
[2019-10-25 20:21:35,031 42] [INFO] [ReportsController] - Entered Missing Entries method
[2019-10-25 20:21:35,098 42] [INFO] [ReportsController] - MissingEntries-Elapsed00:00:00.0682561
[2019-10-25 20:22:30,323 48] [INFO] [ReportsController] - Entered Missing Entries method
[2019-10-25 20:22:30,494 48] [INFO] [ReportsController] - MissingEntries-Elapsed00:00:00.1710245
[2019-10-25 20:22:31,917 42] [INFO] [ReportsController] - Entered Missing Entries method
[2019-10-25 20:22:31,982 42] [INFO] [ReportsController] - MissingEntries-Elapsed00:00:00.0650138
[2019-10-25 20:22:32,424 48] [INFO] [ReportsController] - Entered Missing Entries method
[2019-10-25 20:22:32,484 48] [INFO] [ReportsController] - MissingEntries-Elapsed00:00:00.0598578
