[2019-05-23 16:26:13,746 10] [INFO] [LoginController] - Entered UserAuthentication method
[2019-05-23 16:26:17,969 10] [INFO] [LoginController] - Elapsed00:00:04.2232446
[2019-05-23 16:26:22,717 11] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-05-23 16:26:22,927 11] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.2106157
[2019-05-23 16:26:23,767 5] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-05-23 16:26:23,864 5] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0966789
[2019-05-23 16:26:24,280 10] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-05-23 16:26:24,400 10] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.1198886
[2019-05-23 16:26:24,437 11] [INFO] [HomeController] - Entered GetTime method
[2019-05-23 16:26:24,505 11] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0686948
[2019-05-23 16:26:24,792 10] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-05-23 16:26:24,906 10] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.1147201
[2019-05-23 16:27:05,569 11] [INFO] [LoginController] - Entered UserAuthentication method
[2019-05-23 16:27:10,264 11] [INFO] [LoginController] - Elapsed00:00:04.7012815
[2019-05-23 16:27:14,400 12] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-05-23 16:27:14,635 12] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.2346576
[2019-05-23 16:27:14,916 14] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-05-23 16:27:14,988 14] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.0813684
[2019-05-23 16:27:15,019 12] [INFO] [HomeController] - Entered GetTime method
[2019-05-23 16:27:15,087 12] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0547228
[2019-05-23 16:27:15,431 22] [INFO] [ReportsController] - Entered Missing Entries Details method
