[2019-08-17 00:56:54,070 11] [INFO] [LoginController] - Entered UserAuthentication method
[2019-08-17 00:57:00,152 11] [INFO] [LoginController] - Elapsed00:00:06.0843871
[2019-08-17 00:57:02,129 9] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-08-17 00:57:02,967 9] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.8373193
[2019-08-17 00:57:03,159 7] [INFO] [HomeController] - Entered GetEmployees method
[2019-08-17 00:57:03,525 7] [INFO] [HomeController] - GetEmployees method Elapsed - 00:00:00.3645476
[2019-08-17 00:57:03,593 11] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-08-17 00:57:04,326 11] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.7298019
[2019-08-17 00:57:04,454 8] [INFO] [HomeController] - Entered GetTime method
[2019-08-17 00:57:04,578 8] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.1244843
[2019-08-17 00:57:04,682 11] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-08-17 00:57:04,946 11] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.2632967
[2019-08-17 00:57:05,753 7] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-08-17 00:57:06,639 7] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.8856259
[2019-08-17 00:58:25,593 7] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-08-17 00:58:25,661 7] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0682099
[2019-08-17 00:58:26,107 18] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-08-17 00:58:26,352 18] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.2459521
[2019-08-17 00:58:26,609 19] [INFO] [HomeController] - Entered GetEmployees method
[2019-08-17 00:58:26,797 19] [INFO] [HomeController] - GetEmployees method Elapsed - 00:00:00.1887735
[2019-08-17 00:58:26,877 17] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-08-17 00:58:27,076 17] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.1993831
[2019-08-17 00:58:27,616 20] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-08-17 00:58:27,728 20] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.1139014
[2019-08-17 00:58:28,230 8] [INFO] [HomeController] - Entered GetTime method
[2019-08-17 00:58:28,355 8] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.1241974
[2019-08-17 00:58:46,791 11] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-08-17 00:58:46,863 11] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.0730585
[2019-08-17 00:58:47,807 18] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-08-17 00:58:47,931 18] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.1239762
[2019-08-17 00:58:48,308 11] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-08-17 00:58:48,420 11] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.1136848
[2019-08-17 00:58:48,838 17] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-08-17 00:58:48,886 17] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.0461974
[2019-08-17 00:58:49,357 11] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-08-17 00:58:49,489 11] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.1308349
[2019-08-17 00:58:49,860 17] [INFO] [HomeController] - Entered GetEmployees method
[2019-08-17 00:58:49,980 17] [INFO] [HomeController] - GetEmployees method Elapsed - 00:00:00.1220913
[2019-08-17 00:58:50,068 7] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-08-17 00:58:50,196 7] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.1300857
[2019-08-17 00:58:50,272 18] [INFO] [HomeController] - Entered GetTime method
[2019-08-17 00:58:50,356 18] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0844794
[2019-08-17 00:58:50,997 18] [INFO] [AdminController] - Entered AttendanceDetails method
[2019-08-17 00:58:51,285 18] [INFO] [AdminController] - AttendanceDetails-Elapsed00:00:00.2881482
[2019-08-17 00:58:51,865 16] [INFO] [HomeController] - Entered EmployeeAnniversary method
