[2019-10-26 09:37:19,434 10] [INFO] [LoginController] - Entered UserAuthentication method
[2019-10-26 09:37:27,236 10] [INFO] [LoginController] - Elapsed00:00:07.8189349
[2019-10-26 09:37:30,027 8] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-26 09:37:30,591 8] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.5633703
[2019-10-26 09:37:31,055 13] [INFO] [HomeController] - Entered GetEmployees method
[2019-10-26 09:37:31,595 13] [INFO] [HomeController] - GetEmployees method Elapsed - 00:00:00.5402052
[2019-10-26 09:37:31,659 8] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-10-26 09:37:32,563 8] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.9077575
[2019-10-26 09:37:32,690 9] [INFO] [HomeController] - Entered GetTime method
[2019-10-26 09:37:32,810 9] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.1193909
[2019-10-26 09:37:34,094 8] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-10-26 09:37:35,126 8] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:01.0270864
[2019-10-26 09:37:35,600 13] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-26 09:37:35,849 13] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.2492231
[2019-10-26 09:38:08,402 10] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-26 09:38:08,522 10] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.1177544
[2019-10-26 09:38:08,915 10] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-26 09:38:08,963 10] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.0494895
[2019-10-26 09:38:09,431 10] [INFO] [HomeController] - Entered GetEmployees method
[2019-10-26 09:38:09,563 10] [INFO] [HomeController] - GetEmployees method Elapsed - 00:00:00.1327840
[2019-10-26 09:38:09,611 11] [INFO] [HomeController] - Entered GetMonthlyData method
[2019-10-26 09:38:09,743 11] [INFO] [HomeController] - GetMonthlyData method Elapsed - 00:00:00.1318510
[2019-10-26 09:38:09,855 10] [INFO] [HomeController] - Entered GetTime method
[2019-10-26 09:38:09,955 10] [INFO] [HomeController] - GetTime method Elapsed - 00:00:00.0981923
[2019-10-26 09:38:10,059 13] [INFO] [AdminController] - Entered AttendanceDetails method
[2019-10-26 09:38:10,423 13] [INFO] [AdminController] - AttendanceDetails-Elapsed00:00:00.3658034
[2019-10-26 09:38:10,953 8] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-10-26 09:38:11,047 8] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.1055601
[2019-10-26 09:38:11,964 22] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-26 09:38:12,058 22] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.1076903
[2019-10-26 09:38:12,473 9] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-10-26 09:38:12,609 9] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.1367591
[2019-10-26 09:38:13,486 11] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-26 09:38:13,580 11] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.0934355
[2019-10-26 09:38:33,226 11] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-26 09:38:33,620 11] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.3972785
[2019-10-26 09:38:34,241 10] [INFO] [AdminController] - Entered EmployeeDetails method
[2019-10-26 09:38:34,451 10] [INFO] [AdminController] - EmployeeDetails-Elapsed00:00:00.2070804
[2019-10-26 09:38:34,755 21] [INFO] [ReportsController] - Entered Missing Entries Details method
[2019-10-26 09:38:35,121 21] [INFO] [ReportsController] - MissingEntriesDetails-Elapsed00:00:00.3669077
[2019-10-26 09:38:35,245 11] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-26 09:38:35,445 11] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.2007461
[2019-10-26 09:38:37,075 13] [INFO] [HomeController] - Entered GetCheckInDetails method
[2019-10-26 09:38:37,183 13] [INFO] [HomeController] - GetCheckInDetails method Elapsed - 00:00:00.1084359
[2019-10-26 09:38:38,095 20] [INFO] [HomeController] - Entered EmployeeAnniversary method
[2019-10-26 09:38:38,249 20] [INFO] [HomeController] - EmployeeAnniversary method Elapsed - 00:00:00.1539062
[2019-10-26 09:38:38,613 10] [INFO] [HomeController] - Entered GetEmployees method
