[API] [2019-08-16 19:30:17,019 26] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-08-16 19:30:17,035 26] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0533122
[API] [2019-08-16 19:30:17,497 21] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:30:17,513 21] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:30:17,644 21] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:30:17,656 21] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.1588199
[API] [2019-08-16 19:30:18,249 14] [INFO] [EmployeesController] - Entered EmployeesByStatus method
[API] [2019-08-16 19:30:18,329 14] [INFO] [EmployeesController] - Getting employees by status from database 
[API] [2019-08-16 19:30:18,465 14] [INFO] [EmployeesController] - Getting employees  by status from database  completed. Returning the status object
[API] [2019-08-16 19:30:18,473 14] [INFO] [EmployeesController] - EmployeesByStatus method Elapsed - 00:00:00.2223841
[API] [2019-08-16 19:30:19,748 9] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:30:19,756 9] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:30:19,780 9] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:30:19,788 9] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0368646
[API] [2019-08-16 19:30:20,278 27] [INFO] [DesignationController] - GetDetails Started
[API] [2019-08-16 19:30:20,293 27] [INFO] [DesignationController] - Entereed into designationDAL
[API] [2019-08-16 19:30:20,325 27] [INFO] [DesignationController] - Getting data from designationDAL
[API] [2019-08-16 19:30:20,340 27] [INFO] [DesignationController] - Time elapsed : 00:00:00.0683742
[API] [2019-08-16 19:30:20,778 33] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:30:20,794 33] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:30:20,810 33] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:30:20,826 33] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0481778
[API] [2019-08-16 19:30:21,314 27] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-08-16 19:30:21,330 27] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-08-16 19:30:21,366 27] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:30:21,382 27] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0693615
[API] [2019-08-16 19:30:21,766 34] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-08-16 19:30:21,782 34] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-08-16 19:30:21,802 34] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-08-16 19:30:21,818 34] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0497579
[API] [2019-08-16 19:30:22,310 25] [INFO] [DepartmentController] - GetDetails Started
[API] [2019-08-16 19:30:22,326 25] [INFO] [DepartmentController] - Entereed into departmentDAL
[API] [2019-08-16 19:30:22,391 25] [INFO] [DepartmentController] - Getting data from departmentDAL
[API] [2019-08-16 19:30:22,411 25] [INFO] [DepartmentController] - Time elapsed : 00:00:00.1031455
[API] [2019-08-16 19:31:27,684 26] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:31:27,692 26] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:31:27,912 26] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:31:27,928 26] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.2418543
[API] [2019-08-16 19:31:28,181 9] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-08-16 19:31:28,197 9] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-08-16 19:31:28,209 9] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-08-16 19:31:28,224 9] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0479981
[API] [2019-08-16 19:31:28,717 37] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-08-16 19:31:28,717 37] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-08-16 19:31:28,905 37] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:31:28,905 37] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.2015385
[API] [2019-08-16 19:31:29,208 9] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:31:29,224 9] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:31:29,304 9] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:31:29,320 9] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.1115412
[API] [2019-08-16 19:31:29,951 9] [INFO] [EmployeesController] - Entered Attendance method
[API] [2019-08-16 19:31:29,963 9] [INFO] [EmployeesController] - Getting attendance from database
[API] [2019-08-16 19:31:30,007 9] [INFO] [EmployeesController] - Getting attendance from database completed. Returning the status object
[API] [2019-08-16 19:31:30,195 9] [INFO] [EmployeesController] - Attendance method Elapsed - 00:00:00.2537279
[API] [2019-08-16 19:32:01,890 49] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:32:01,898 49] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:32:02,162 49] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:32:02,178 49] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.2851609
[API] [2019-08-16 19:32:02,382 47] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-08-16 19:32:02,402 47] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-08-16 19:32:02,422 47] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
