[API] [2019-05-27 18:38:36,809 17] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:38:36,811 17] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:38:36,812 17] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0041918
[API] [2019-05-27 18:38:37,314 17] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:38:37,315 17] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:38:37,316 17] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:38:37,316 17] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0016019
[API] [2019-05-27 18:38:37,850 27] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:38:37,851 27] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:38:37,862 27] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:38:37,862 27] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0122441
[API] [2019-05-27 18:38:38,362 25] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:38:38,363 25] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:38:38,365 25] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:38:38,366 25] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0046254
[API] [2019-05-27 18:38:38,896 16] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-05-27 18:38:38,897 16] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
[API] [2019-05-27 18:38:38,904 16] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:38:38,905 16] [INFO] [ReportsController] - MonthlyReport -Elapsed 00:00:00.0091092
[API] [2019-05-27 18:38:38,960 22] [INFO] [ReportsController] - Entered TimeReport method
[API] [2019-05-27 18:38:38,981 22] [INFO] [ReportsController] - Getting data from the database
[API] [2019-05-27 18:38:38,983 22] [INFO] [ReportsController] - Getting TimeReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:38:38,983 22] [INFO] [ReportsController] - TimeReport-Elapsed 00:00:00.0235081
[API] [2019-05-27 18:43:29,802 26] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:43:29,802 26] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:43:29,803 26] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:43:29,804 26] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0020644
[API] [2019-05-27 18:43:30,291 7] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:43:30,292 7] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:43:30,292 7] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:43:30,293 7] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0015304
[API] [2019-05-27 18:43:30,804 15] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:43:30,806 15] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:43:30,809 15] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:43:30,810 15] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0053989
[API] [2019-05-27 18:43:31,319 14] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:43:31,322 14] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:43:31,339 14] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:43:31,340 14] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0207498
[API] [2019-05-27 18:44:52,139 7] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:44:52,140 7] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:44:52,143 7] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:44:52,144 7] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0046445
[API] [2019-05-27 18:44:52,679 24] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:44:52,680 24] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:44:52,699 24] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:44:52,699 24] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0206554
[API] [2019-05-27 18:44:53,189 16] [INFO] [EmployeesController] - Entered GetCheckOutTime method
